-8392,15176,32767,-15210,1878,7058
-32768,-14208,-32768,-13388,-32768,32767
-6732,11996,32767,-5733,32767,-13475
4252,-3408,20052,6509,5702,-1950
7728,19124,32767,-15227,342,2563
7584,27120,30692,-32768,8390,5446
4760,24476,23192,-32768,9768,6766
-2136,-5884,1000,-32756,4539,1856
-1540,-22164,11152,3029,1926,3536
-32768,-11412,7508,13066,32767,-32768
-30960,-17624,5700,-5966,-32768,15203
-19740,-16484,15024,-3538,10682,5440
-19052,-17984,-4160,16178,1513,301
-18992,896,15100,32767,-10280,-1524
-20820,-2360,32767,25064,10409,-4400
-20828,-7384,32767,10819,-1931,172
-5976,-10676,27148,1493,1886,1421
872,-8452,15508,6681,7734,11450
3400,7932,8436,16267,17193,31769
-16968,20816,-12792,-19402,30217,31332
